director,peso_diretor
Anne K. Black,4.2
Anne Le Ny,6.5
Anne Renton,5.7
Anne Sewitsky,6.8
Anne Wheeler,6.5
Anne Wivel,7.5
Anne �mond,6.9
Anne-Marie Mi�ville,6.4
Anne-Sophie Birot,6.0
Annemarie Jacir,6.7
Annette Ernst,6.2
Annette Haywood-Carter,5.6
Annette K. Olesen,6.8
Annette Surfer,5.2
Annika Grof,7.0
Anno Saul,6.6
Anselmo Duarte,8.2
Anssi M�ntt�ri,5.7
Anthony Asquith,7.1
Anthony B. Richmond,4.6
Anthony Barnao,6.0
Anthony Baxter,7.6
Anthony Burns,5.6
Anthony Byrne,6.9
Anthony C. Ferrante,3.7
Anthony Caldarella,6.1
Anthony Chen,7.3
Anthony D'Souza,5.2
Anthony DiBlasi,5.5
Anthony Doublin,1.7
Anthony Drazan,6.2
Anthony Fabian,6.4
Anthony Fankhauser,2.6
Anthony Friedman,6.3
Anthony Geffen,7.3
Anthony Hackett,7.0
Anthony Harvey,7.0
Anthony Hemingway,5.9
Anthony Hickox,5.0
Anthony Hopkins,5.6
Anthony Howarth,8.0
Anthony Joseph Giunta,5.5
Anthony Kimmins,6.6
Anthony Lefresne,5.0
Anthony Leonardi III,4.4
Anthony Leondis,6.5
Anthony Lucas,7.8
Anthony Lucero,8.3
Anthony M. Lanza,4.1
Anthony Mandler,7.9
Anthony Mann,7.0
Anthony Marciano,6.2
Anthony Michael Hall,3.2
Anthony Minghella,7.0
Anthony Newley,4.8
Anthony O'Brien,4.2
Anthony Page,6.1
Anthony Pelissier,7.5
Anthony Perkins,5.2
Anthony Pierce,4.9
Anthony Powell,7.6
Anthony Power,
Anthony Pullen Shaw,7.3
Anthony Quinn,6.5
Anthony Silverston,5.7
Anthony Simmons,7.1
Anthony Spadaccini,5.5
Anthony Waller,5.8
Anthony Wonke,7.4
Anthony Young,5.6
Antoine Bardou-Jacquet,7.2
Antoine Blossier,5.3
Antoine Charreyron,5.8
Antoine Cuypers,
Antoine Fuqua,6.8
Antoine de Caunes,5.7
Antoinette Beumer,6.8
Antoinette Jadaone,7.9
Anton Bormatov,4.4
Anton Corbijn,6.8
Anton Jarvis,7.6
Anton King,5.8
Anton Lanshakov,7.6
Anton Leader,6.1
Anton Megerdichev,6.0
Anton Sivers,5.9
Antonello Grimaldi,6.3
Antoni Krauze,6.7
Antoni Stutz,6.6
Antonia Bird,6.6
Antonia Bogdanovich,5.1
Antonia Scarpa,7.6
